,A,B,Toss_Winner,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B),Team A Ground,Team B Ground,winner
129,2,1,0,0.18000000000000016,1.0000000000000002,0.5909090909090908,0.8899521531100477,0.473684211,0.533333333,0.4266666666666667,0.4571428571428572,-0.297,0.021,0.7805005213764338,0.8571428571428572,0.4,0.6,0,0,0
130,6,0,1,0.41000000000000014,0.2925,0.4055023923444976,0.6267942583732057,0.571428571,0.583333333,0.3066666666666667,0.4,-0.478,0.374,0.6287799791449427,0.7283628779979145,0.0,1.0,0,1,0
131,4,7,0,1.0000000000000002,0.6025,0.6399521531100478,0.5263157894736842,0.384615385,0.5,0.34666666666666673,0.5428571428571429,-0.341,1.084,0.586548488008342,0.7294056308654849,0.0,1.0,0,1,1
132,9,0,1,0.4950000000000001,0.2925,0.5251196172248803,0.6267942583732057,0.46153846200000004,0.583333333,0.3066666666666667,0.2761904761904762,0.21899999999999997,0.374,0.8571428571428572,0.7283628779979145,1.0,0.0,1,0,0
133,11,6,1,0.6700000000000002,0.41000000000000014,0.5466507177033493,0.4055023923444976,0.7333333329999999,0.571428571,0.5066666666666666,0.7238095238095239,-0.514,-0.478,0.6021897810218978,0.6287799791449427,0.3,0.7,0,0,0
134,0,7,1,0.2925,0.6025,0.6267942583732057,0.5263157894736842,0.583333333,0.5,0.48000000000000004,0.6000000000000001,0.374,1.084,0.7283628779979145,0.7294056308654849,0.5,0.5,0,1,1
135,1,9,1,1.0000000000000002,0.4950000000000001,0.8899521531100477,0.5251196172248803,0.533333333,0.46153846200000004,0.5333333333333334,0.5142857142857143,0.021,0.21899999999999997,0.8571428571428572,0.8571428571428572,0.5,0.5,0,1,0
136,2,11,0,0.18000000000000016,0.6700000000000002,0.5909090909090908,0.5466507177033493,0.473684211,0.7333333329999999,0.46666666666666673,0.4,-0.297,-0.514,0.7805005213764338,0.6021897810218978,0.0,0.0,0,1,1
137,4,6,0,1.0000000000000002,0.41000000000000014,0.6399521531100478,0.4055023923444976,0.384615385,0.571428571,0.6533333333333333,0.43809523809523815,-0.341,-0.478,0.586548488008342,0.6287799791449427,0.0,1.0,0,0,0
138,11,0,0,0.6700000000000002,0.2925,0.5466507177033493,0.6267942583732057,0.7333333329999999,0.583333333,0.5733333333333335,0.5523809523809524,-0.514,0.374,0.6021897810218978,0.7283628779979145,0.7,0.3,1,0,0
139,7,2,1,0.6025,0.18000000000000016,0.5263157894736842,0.5909090909090908,0.5,0.473684211,0.49333333333333335,0.4761904761904762,1.084,-0.297,0.7294056308654849,0.7805005213764338,0.5,0.5,1,0,0
140,1,4,0,1.0000000000000002,1.0000000000000002,0.8899521531100477,0.6399521531100478,0.533333333,0.384615385,0.6266666666666667,0.34285714285714286,0.021,-0.341,0.8571428571428572,0.586548488008342,0.7,0.3,0,0,0
141,6,7,1,0.41000000000000014,0.6025,0.4055023923444976,0.5263157894736842,0.571428571,0.5,0.44,0.4285714285714286,-0.478,1.084,0.6287799791449427,0.7294056308654849,0.0,0.0,0,1,1
142,9,0,0,0.4950000000000001,0.2925,0.5251196172248803,0.6267942583732057,0.46153846200000004,0.583333333,0.49333333333333335,0.5333333333333334,0.21899999999999997,0.374,0.8571428571428572,0.7283628779979145,1.0,0.0,0,1,1
143,1,11,0,1.0000000000000002,0.6700000000000002,0.8899521531100477,0.5466507177033493,0.533333333,0.7333333329999999,0.49333333333333335,0.37142857142857144,0.021,-0.514,0.8571428571428572,0.6021897810218978,0.0,0.0,0,0,0
144,4,2,0,1.0000000000000002,0.18000000000000016,0.6399521531100478,0.5909090909090908,0.384615385,0.473684211,0.4133333333333334,0.5619047619047619,-0.341,-0.297,0.586548488008342,0.7805005213764338,0.3,0.7,1,0,0
145,6,9,0,0.41000000000000014,0.4950000000000001,0.4055023923444976,0.5251196172248803,0.571428571,0.46153846200000004,0.34666666666666673,0.48571428571428577,-0.478,0.21899999999999997,0.6287799791449427,0.8571428571428572,0.0,0.0,0,0,1
146,0,11,0,0.2925,0.6700000000000002,0.6267942583732057,0.5466507177033493,0.583333333,0.7333333329999999,0.6799999999999999,0.5904761904761905,0.374,-0.514,0.7283628779979145,0.6021897810218978,0.3,0.7,1,0,0
147,7,2,0,0.6025,0.18000000000000016,0.5263157894736842,0.5909090909090908,0.5,0.473684211,0.5066666666666666,0.380952380952381,1.084,-0.297,0.7294056308654849,0.7805005213764338,0.5,0.5,1,0,0
148,4,6,0,1.0000000000000002,0.41000000000000014,0.6399521531100478,0.4055023923444976,0.384615385,0.571428571,0.5066666666666666,0.6571428571428573,-0.341,-0.478,0.586548488008342,0.6287799791449427,0.0,1.0,1,0,1
149,1,9,0,1.0000000000000002,0.4950000000000001,0.8899521531100477,0.5251196172248803,0.533333333,0.46153846200000004,0.52,0.36190476190476195,0.021,0.21899999999999997,0.8571428571428572,0.8571428571428572,0.5,0.5,0,0,0
150,11,2,0,0.6700000000000002,0.18000000000000016,0.5466507177033493,0.5909090909090908,0.7333333329999999,0.473684211,0.44,0.49523809523809526,-0.514,-0.297,0.6021897810218978,0.7805005213764338,0.0,0.0,0,0,0
151,0,7,0,0.2925,0.6025,0.6267942583732057,0.5263157894736842,0.583333333,0.5,0.36000000000000004,0.43809523809523815,0.374,1.084,0.7283628779979145,0.7294056308654849,0.5,0.5,1,0,0
152,6,11,0,0.41000000000000014,0.6700000000000002,0.4055023923444976,0.5466507177033493,0.571428571,0.7333333329999999,0.49333333333333335,0.6666666666666667,-0.478,-0.514,0.6287799791449427,0.6021897810218978,0.7,0.3,0,1,1
