team A,team B,Toss_Winner,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B),Team A Ground,Team B Ground,winner,id,result,toss_decision,dl_applied,win_by_runs,win_by_wickets,player_of_match,umpire1,umpire2,umpire3,venue
RR,DC,DC,743,537,608,810,0.536231884,0,52,59,-0.449,0.044,568,677,0.61,0.39,home,away,DC,11331,normal,field,0,0,6,RR Pant,S Ravi,Nanda Kishore,Yeshwant Barde,Sawai Mansingh Stadium
SRH,CSK,CSK,610,658,661,700,0.5,0.649350649,56,49,0.577,0.131,694.5,764,0.2,0.8,away,home,CSK,11332,normal,field,0,0,6,SR Watson,Nigel Llong,Anil Chaudhary,Vineet Kulkarni,M. A. Chidambaram Stadium
RCB,KXIP,KXIP,641,656,569,446,0.506493506,0.426666667,75,71,-0.607,-0.251,560.5,657,0.45,0.55,away,away,RCB,11333,normal,field,0,17,0,AB de Villiers,Bruce Oxenford,C ShamshuDCin,Rod Tucker,M. Chinnaswamy Stadium
KKR,RR,RR,589,743,406,608,0.563218391,0.536231884,37,55,0.028,-0.449,756,568,0.5,0.5,home,away,RR,11334,normal,field,0,0,3,VR Aaron,Ian Gould,Anil Dandekar,Nitin Menon,Eden Gardens
MI,CSK,CSK,616,658,759,700,0.555555556,0.649350649,46,40,0.421,0.131,830,764,0.54,0.46,away,home,MI,11335,normal,field,0,46,0,RG Sharma,Nigel Llong,Anil Chaudhary,Vineet Kulkarni,M. A. Chidambaram Stadium
SRH,RR,RR,610,743,661,608,0.5,0.536231884,53,61,0.577,-0.449,694.5,568,0.56,0.44,away,home,RR,11336,normal,field,0,0,7,JD Unadkat,Yeshwant Barde,Nand Kishore,Sundaram Ravi,Sawai Mansingh Stadium
DC,RCB,DC,537,641,810,569,0,0.506493506,61,66,0.044,-0.607,677,560.5,0.33,0.67,away,away,DC,11337,normal,bat,0,16,0,S Dhawan,Bruce Oxenford,KN Ananthapadmanabhan,C ShamshuDCin,Feroz Shah Kotla Ground
KKR,MI,MI,589,616,406,759,0.563218391,0.555555556,50,42,0.028,0.421,756,830,0.22,0.78,home,away,KKR,11338,normal,field,0,34,0,AD Russell,Ian Gould,Nitin Menon,Anil Dandekar,Eden Gardens
SRH,KXIP,KXIP,610,656,661,446,0.5,0.426666667,89,47,0.577,-0.251,694.5,657,0.75,0.25,home,away,SRH,11339,normal,field,0,45,0,DA Warner,S Ravi,O Nandan,Nanda Kishore,Rajiv Gandhi Intl. Cricket Stadium
RCB,RR,RR,641,743,569,608,0.506493506,0.536231884,65,42,-0.607,-0.449,560.5,568,0.47,0.53,away,away,,11340,no result,field,0,0,0,,Nigel Llong,Ulhas Gandhe,Anil Chaudhary,M. Chinnaswamy Stadium
CSK,DC,DC,658,537,700,810,0.649350649,0,28,59,0.131,0.044,764,677,0.67,0.33,home,away,CSK,11341,normal,field,0,80,0,MS Dhoni,Anil Dandekar,Nitin Menon,Ian Gould,M. A. Chidambaram Stadium
MI,SRH,MI,616,610,759,661,0.555555556,0.5,45,60,0.421,0.577,830,694.5,0.42,0.58,home,away,MI,11342,tie,bat,0,0,0,JJ Bumrah,S Ravi,O Nandan,Nanda Kishore,Wankhede Stadium
KXIP,KKR,KKR,656,589,446,406,0.426666667,0.563218391,41,63,-0.251,0.028,657,756,0.35,0.65,home,away,KKR,11343,normal,field,0,0,7,S Gill,Bruce Oxenford,C ShamshuDCin,KN Ananthapadmanabhan,IS Bindra Stadium
RR,DC,RR,743,537,608,810,0.536231884,0,31,50,-0.449,0.044,568,677,0.61,0.39,away,away,DC,11344,normal,bat,0,0,5,A Mishra,Ian Gould,Anil Dandekar,Nitin Menon,Feroz Shah Kotla Ground
SRH,RCB,RCB,610,641,661,569,0.5,0.506493506,53,53,0.577,-0.607,694.5,560.5,0.58,0.42,away,away,RCB,11345,normal,field,0,0,4,S Hetmyer,Nigel Llong,Anil Chaudhary,Ulhas Gandhe,M. Chinnaswamy Stadium
CSK,KXIP,KXIP,658,656,700,446,0.649350649,0.426666667,44,75,0.131,-0.251,764,657,0.58,0.42,away,home,KXIP,11346,normal,field,0,0,6,KL Rahul,KN Ananthapadmanabhan,C ShamshuDCin,Bruce Oxenford,IS Bindra Stadium
KKR,MI,MI,589,616,406,759,0.563218391,0.555555556,51,48,0.028,0.421,756,830,0.22,0.78,away,home,MI,11347,normal,field,0,0,9,HH Pandya,Nanda Kishore,O Nandan,S Ravi,Wankhede Stadium
CSK,MI,CSK,658,616,700,759,0.649350649,0.555555556,33,47,0.131,0.421,764,830,0.46,0.54,home,away,MI,11412,normal,bat,0,0,6,AS Yadav,Nigel Llong,Nitin Menon,Ian Gould,M. A. Chidambaram Stadium
SRH,DC,DC,610,537,661,810,0.5,0,54,56,0.577,0.044,694.5,677,0.67,0.33,away,away,DC,11413,normal,field,0,0,2,RR Pant,,,,ACA-VDECA Stadium
DC,CSK,CSK,537,658,810,700,0,0.649350649,42,42,0.044,0.131,677,764,0.33,0.67,away,away,CSK,11414,normal,field,0,0,6,F du Plessis,Sundaram Ravi,Bruce Oxenford,Chettithody ShamshuDCin,ACA-VDECA Stadium
MI,CSK,MI,616,658,759,700,0.555555556,0.649350649,46,54,0.421,0.131,830,764,0.54,0.46,away,away,MI,11415,normal,bat,0,1,0,JJ Bumrah,Nitin Menon,Ian Gould,Nigel Llong,Rajiv Gandhi Intl. Cricket Stadium
