team A,team B,Toss_Winner,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B),Team A Ground,Team B Ground,winner,id,result,toss_decision,dl_applied,win_by_runs,win_by_wickets,player_of_match,umpire1,umpire2,umpire3,venue
GL,MI,MI,650,697,518,644,0.75,0.554054054,46,56,-0.412,0.784,481,592.5,1,0,away,home,MI,16,normal,field,0,0,6,N Rana,A Nand Kishore,S Ravi,,Wankhede Stadium
RPS,RCB,RCB,477,477,707,852,0,0.540983607,55,42,0.176,-1.299,0,464,0,1,away,home,RPS,17,normal,field,0,27,0,BA Stokes,KN Ananthapadmanabhan,C ShamshuDCin,,M Chinnaswamy Stadium
DC,KKR,DC,623,623,452,560,0.4375,0.550724638,53,49,-0.512,0.642,464,691,0.41,0.59,away,away,KKR,18,normal,bat,0,0,4,NM Coulter-Nile,Nitin Menon,CK Nandan,,Feroz Shah Kotla
SRH,KXIP,KXIP,765,637,682,580,0.466666667,0.40625,29,51,0.599,-0.009,688,618.5,0.75,0.25,home,away,SRH,19,normal,field,0,5,0,B Kumar,AY Dandekar,A Deshmukh,,"Rajiv Gandhi International Stadium, Uppal"
RCB,GL,GL,477,650,852,518,0.540983607,0.75,45,57,-1.299,-0.412,464,481,0.67,0.33,away,away,RCB,20,normal,field,0,21,0,CH Gayle,S Ravi,VK Sharma,,Saurashtra Cricket Association Stadium
SRH,DC,SRH,765,623,682,452,0.466666667,0.4375,39,56,0.599,-0.512,688,464,0.625,0.375,home,away,SRH,21,normal,bat,0,15,0,KS Williamson,CB Gaffaney,NJ Llong,,"Rajiv Gandhi International Stadium, Uppal"
KXIP,MI,MI,637,697,580,644,0.40625,0.554054054,46,82,-0.009,0.784,618.5,592.5,0.5,0.5,home,away,MI,22,normal,field,0,0,8,JC Buttler,M Erasmus,C ShamshuDCin,,Holkar Cricket Stadium
KKR,GL,GL,623,650,560,518,0.550724638,0.75,65,72,0.642,-0.412,691,481,0,1,home,away,GL,23,normal,field,0,0,4,SK Raina,CB Gaffaney,Nitin Menon,,Eden Gardens
MI,DC,DC,697,623,644,452,0.554054054,0.4375,48,23,0.784,-0.512,592.5,464,0.5,0.5,home,away,MI,24,normal,field,0,14,0,MJ McClenaghan,A Nand Kishore,S Ravi,,Wankhede Stadium
SRH,RPS,RPS,765,477,682,707,0.466666667,0,45,55,0.599,0.176,688,0,0.5,0.5,away,away,RPS,25,normal,field,0,0,6,MS Dhoni,AY Dandekar,A Deshmukh,,Maharashtra Cricket Association Stadium
KXIP,GL,GL,637,650,580,518,0.40625,0.75,50,50,-0.009,-0.412,618.5,481,0.5,0.5,away,away,KXIP,26,normal,field,0,26,0,HM Amla,AK Chaudhary,M Erasmus,,Saurashtra Cricket Association Stadium
KKR,RCB,RCB,623,477,560,852,0.550724638,0.540983607,65,39,0.642,-1.299,691,464,0.5,0.5,home,away,KKR,27,normal,field,0,82,0,NM Coulter-Nile,CB Gaffaney,CK Nandan,,Eden Gardens
RPS,MI,MI,477,697,707,644,0,0.554054054,48,44,0.176,0.784,0,592.5,0.5,0.5,away,home,RPS,28,normal,field,0,3,0,BA Stokes,A Nand Kishore,S Ravi,,Wankhede Stadium
RPS,KKR,KKR,477,623,707,560,0,0.550724638,57,45,0.176,0.642,0,691,0,1,away,away,KKR,29,normal,field,0,0,7,RV Uthappa,AY Dandekar,NJ Llong,,Maharashtra Cricket Association Stadium
RCB,GL,GL,477,650,852,518,0.540983607,0.75,35,49,-1.299,-0.412,464,481,0.67,0.33,home,away,GL,30,normal,field,0,0,7,AJ Tye,AK Chaudhary,C ShamshuDCin,,M Chinnaswamy Stadium
DC,KKR,KKR,623,623,452,560,0.4375,0.550724638,53,47,-0.512,0.642,464,691,0.41,0.59,away,home,KKR,31,normal,field,0,0,7,G Gambhir,NJ Llong,S Ravi,,Eden Gardens
SRH,KXIP,KXIP,765,637,682,580,0.466666667,0.40625,60,59,0.599,-0.009,688,618.5,0.75,0.25,away,away,SRH,32,normal,field,0,26,0,Rashid Khan,Nitin Menon,CK Nandan,,"Punjab Cricket Association IS Bindra Stadium, Mohali"
RPS,RCB,RCB,477,477,707,852,0,0.540983607,43,39,0.176,-1.299,0,464,0,1,away,away,RPS,33,normal,field,0,61,0,LH Ferguson,KN Ananthapadmanabhan,M Erasmus,,Maharashtra Cricket Association Stadium
GL,MI,GL,650,697,518,644,0.75,0.554054054,48,61,-0.412,0.784,481,592.5,1,0,away,away,MI,34,tie,bat,0,0,0,KH Pandya,AK Chaudhary,CB Gaffaney,,Saurashtra Cricket Association Stadium
DC,KXIP,KXIP,623,637,452,580,0.4375,0.40625,25,50,-0.512,-0.009,464,618.5,0.44,0.56,away,away,KXIP,35,normal,field,0,0,10,Sandeep Sharma,YC Barde,CK Nandan,,"Punjab Cricket Association IS Bindra Stadium, Mohali"
SRH,KKR,KKR,765,623,682,560,0.466666667,0.550724638,79,44,0.599,0.642,688,691,0.33,0.67,home,away,SRH,36,normal,field,0,48,0,DA Warner,AY Dandekar,S Ravi,,"Rajiv Gandhi International Stadium, Uppal"
RCB,MI,RCB,477,697,852,644,0.540983607,0.554054054,52,55,-1.299,0.784,464,592.5,0.42,0.58,away,home,MI,37,normal,bat,0,0,5,RG Sharma,AK Chaudhary,CB Gaffaney,,Wankhede Stadium
GL,RPS,RPS,650,477,518,707,0.75,0,55,43,-0.412,0.176,481,0,1,0,away,away,RPS,38,normal,field,0,0,5,BA Stokes,M Erasmus,C ShamshuDCin,,Maharashtra Cricket Association Stadium
SRH,DC,DC,765,623,682,452,0.466666667,0.4375,66,62,0.599,-0.512,688,464,0.625,0.375,away,away,DC,39,normal,field,0,0,6,Mohammed Shami,YC Barde,Nitin Menon,,Feroz Shah Kotla
